Record Date,FEI Number,Legal Name,Record Type,Publish Date,Download,Record ID
2025-05-09,3010166880,"LEESAR, INC",483,2025-06-23,https://www.fda.gov/media/187040/download,286056
2022-07-15,3007772056,Revance Therapeutics Inc,483,2025-06-20,https://www.fda.gov/media/161041/download,286077
2025-05-15,3032314463,Apothecary Pharma LLC,483,2025-06-02,https://www.fda.gov/media/186741/download,286078
2025-01-16,3003195501,Sanofi-Aventis Deutschland GmbH,483,2025-05-23,https://www.fda.gov/media/186637/download,286083
2025-04-16,3003999190,"Zhejiang Huahai Pharmaceutical Co., Ltd.",483,2025-05-23,https://www.fda.gov/media/186642/download,286082
2024-11-22,3010031951,"Samsung Bioepis Co., Ltd.",483,2025-05-23,https://www.fda.gov/media/186643/download,286081
2025-04-10,3014028588,Aurolife Pharma LLC,483,2025-05-23,https://www.fda.gov/media/186635/download,286084
2025-03-04,3013931875,"QuVa Pharma, Inc.",483,2025-05-07,https://www.fda.gov/media/186263/download,286089
2025-03-28,3016710931,Wells Pharma of Houston LLC,483,2025-05-07,https://www.fda.gov/media/186290/download,286087
2025-04-04,3017374013,PQ Pharmacy LLC,483,2025-05-07,https://www.fda.gov/media/186269/download,286088
2025-02-27,3011688532,Eagle Pharma Outsourcing LLC,483,2025-03-28,https://www.fda.gov/media/185964/download,286094
2025-03-06,3012384835,SKNV,483,2025-03-28,https://www.fda.gov/media/186005/download,286093
2025-02-07,3016710945,Revive Rx LLC dba Revive Rx Pharmacy,483,2025-03-28,https://www.fda.gov/media/185963/download,286095
2023-06-16,1819470,Eli Lilly & Company,483,2025-03-24,https://www.fda.gov/media/185939/download,286096
2023-10-06,1819470,Eli Lilly & Company,483,2025-03-24,https://www.fda.gov/media/185930/download,286099
2022-02-04,3003909356,UCB Pharma S.A.,483,2025-03-24,https://www.fda.gov/media/185938/download,286097
2022-12-02,3005709762,Bushu Pharmaceuticals Ltd.,483,2025-03-24,https://www.fda.gov/media/185936/download,286098
