,trial_identifier,cro_involved,withdrawals,enrolled,start_date,completion_date,estimated_completion_date,dropout_rate,country,city,cro_name_standardized
0,NCT03869983,Syneos Health,,24.0,2019-04-12,2019-05-15,,,Canada,Québec City,Syneos Health
1,NCT04712396,Parexel,,11.0,2021-02-01,2021-03-25,,,Germany,Berlin,Parexel
2,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Belgium,Leuven,Ergomed
3,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,France,Bron,Ergomed
4,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,France,Paris,Ergomed
5,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Germany,Berlin,Ergomed
6,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Germany,Düsseldorf,Ergomed
7,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Germany,Hannover,Ergomed
8,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Germany,Leipzig,Ergomed
9,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Poland,Warsaw,Ergomed
10,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Poland,Warsaw,Ergomed
11,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Saudi Arabia,Riyāḑ,Ergomed
12,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Spain,Las Palmas De Gran Canaria,Ergomed
13,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Spain,Barcelona,Ergomed
14,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Spain,Sevilla,Ergomed
15,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,Spain,Valencia,Ergomed
16,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,United Kingdom,Leeds,Ergomed
17,NCT05239858,Ergomed,,500.0,2022-06-29,,2027-12-31,,United Kingdom,London,Ergomed
19,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,Belgium,Gent,Ergomed
20,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,Netherlands,Nijmegen,Ergomed
21,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,Poland,Gdańsk,Ergomed
22,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,Poland,Kraków,Ergomed
23,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,Poland,Lublin,Ergomed
24,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Bath,Ergomed
25,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Cambridge,Ergomed
26,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Dundee,Ergomed
27,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Leeds,Ergomed
28,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Liverpool,Ergomed
29,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,United Kingdom,London,Ergomed
30,NCT04744207,Ergomed,,94.0,2020-12-29,2022-06-15,,,United Kingdom,Manchester,Ergomed
218,NCT03954600,Celerion,,49.0,2019-05-05,2019-10-02,,,United States,Tempe,Celerion
334,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,United States,Orange City,Syneos Health
335,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,United States,Orlando,Syneos Health
336,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,United States,Buffalo,Syneos Health
337,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,United States,Richmond,Syneos Health
338,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Australia,Albury,Syneos Health
339,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Australia,Westmead,Syneos Health
340,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Australia,Wollongong,Syneos Health
341,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Australia,Cairns,Syneos Health
342,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Australia,Bedford Park,Syneos Health
343,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Australia,Woodville South,Syneos Health
344,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Australia,Birtinya,Syneos Health
345,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Australia,Melbourne,Syneos Health
346,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Belgium,Gent,Syneos Health
347,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Belgium,Sint-Niklaas,Syneos Health
348,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Czechia,Hradec Králové,Syneos Health
349,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Czechia,Olomouc,Syneos Health
350,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Czechia,Ostrava,Syneos Health
351,NCT05155254,Syneos Health,,407.0,2022-05-17,,2025-07-31,,Czechia,Praha,Syneos Health
