fei_number,cro_name_standardized,inspection_id,date_of_inspection,type_of_issue,classification,act/cfr_number,short_description,publish_date,form_483_flag,warning_letter_flag,download,source,record_id,specialization,notable_client,trial_identifier,withdrawals,enrolled,start_date,completion_date,estimated_completion_date,dropout_rate,country,city
1523647.0,Charles River,1131689.0,2020-10-01,Bioresearch Monitoring,Voluntary Action Indicated (VAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Preclinical, early-phase","Biogen, Regeneron",,,,,,,,,
3006500433.0,Charles River,1224863.0,2023-11-17,"Human Cellular, Tissue, and Gene Therapies",No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Preclinical, early-phase","Biogen, Regeneron",,,,,,,,,
3007838011.0,Charles River,1097850.0,2019-07-26,Bioresearch Monitoring,Voluntary Action Indicated (VAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Preclinical, early-phase","Biogen, Regeneron",,,,,,,,,
3015687403.0,Charles River,1123355.0,2020-03-19,Drug Quality Assurance,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Preclinical, early-phase","Biogen, Regeneron",,,,,,,,,
3015687403.0,Charles River,1191225.0,2022-11-09,Drug Quality Assurance,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Preclinical, early-phase","Biogen, Regeneron",,,,,,,,,
2242945.0,Fortrea,1123056.0,2020-03-05,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Sanofi",,,,,,,,,
2242945.0,Fortrea,1147393.0,2021-06-17,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Sanofi",,,,,,,,,
2242945.0,Fortrea,1168630.0,2022-04-25,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Sanofi",,,,,,,,,
3015592983.0,Fortrea,1142244.0,2021-05-20,Bioresearch Monitoring,Voluntary Action Indicated (VAI),21 CFR 312.50,General responsibilities of sponsors,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Sanofi",,,,,,,,,
3006799640.0,Frontage Labs,1112214.0,2019-11-01,Drug Quality Assurance,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Early-phase, bioanalytics","Sanofi, Merck",,,,,,,,,
3006799640.0,Frontage Labs,1155307.0,2021-10-15,Drug Quality Assurance,Voluntary Action Indicated (VAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Early-phase, bioanalytics","Sanofi, Merck",,,,,,,,,
3006799640.0,Frontage Labs,1203309.0,2023-03-31,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Early-phase, bioanalytics","Sanofi, Merck",,,,,,,,,
3006799640.0,Frontage Labs,1258228.0,2025-01-10,Pre-Approval Eval. of Animal Drugs and Food Additives,Voluntary Action Indicated (VAI),21 CFR 211.84(d)(2),Reports of Analysis (Components),,0.0,0.0,,FDA_DASHBOARD,,"Early-phase, bioanalytics","Sanofi, Merck",,,,,,,,,
3006799640.0,Frontage Labs,1258228.0,2025-01-10,Pre-Approval Eval. of Animal Drugs and Food Additives,Voluntary Action Indicated (VAI),21 CFR 211.160(b),Scientifically sound laboratory controls,,0.0,0.0,,FDA_DASHBOARD,,"Early-phase, bioanalytics","Sanofi, Merck",,,,,,,,,
3006799640.0,Frontage Labs,1258228.0,2025-01-10,Pre-Approval Eval. of Animal Drugs and Food Additives,Voluntary Action Indicated (VAI),21 CFR 211.192,"Investigations of discrepancies, failures",,0.0,0.0,,FDA_DASHBOARD,,"Early-phase, bioanalytics","Sanofi, Merck",,,,,,,,,
3003494567.0,ICON plc,1145514.0,2021-06-24,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Bristol Myers Squibb",,,,,,,,,
3003494567.0,ICON plc,1160379.0,2021-12-16,Bioresearch Monitoring,Voluntary Action Indicated (VAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Bristol Myers Squibb",,,,,,,,,
3003494567.0,ICON plc,1227181.0,2024-01-11,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Bristol Myers Squibb",,,,,,,,,
3007467677.0,ICON plc,1187478.0,2022-11-04,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Bristol Myers Squibb",,,,,,,,,
3012234411.0,ICON plc,1071217.0,2018-11-02,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Bristol Myers Squibb",,,,,,,,,
3013747223.0,ICON plc,1131107.0,2020-09-25,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Bristol Myers Squibb",,,,,,,,,
3013747223.0,ICON plc,1164670.0,2022-02-28,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Bristol Myers Squibb",,,,,,,,,
3016465959.0,ICON plc,1242958.0,2024-05-24,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Pfizer, Bristol Myers Squibb",,,,,,,,,
1000111052.0,IQVIA,1073793.0,2018-11-08,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Novartis, Merck",,,,,,,,,
1000111052.0,IQVIA,1080799.0,2019-01-30,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Novartis, Merck",,,,,,,,,
3009290070.0,Lotus Clinical Research,1100779.0,2019-06-21,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Pain, CNS","Biogen, Vertex",,,,,,,,,
3001812586.0,Parexel,1190862.0,2022-11-09,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",,,,,,,,,
3005445577.0,Parexel,1069420.0,2018-10-17,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",,,,,,,,,
3017214739.0,Precision for Medicine,1130874.0,2020-09-03,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Biomarkers, precision medicine","GSK, BMS",,,,,,,,,
3023891246.0,Precision for Medicine,1191485.0,2022-11-18,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Biomarkers, precision medicine","GSK, BMS",,,,,,,,,
3011234940.0,Syneos Health,1102765.0,2019-09-11,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3012591221.0,Syneos Health,1069975.0,2018-10-16,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3012591221.0,Syneos Health,1100366.0,2019-08-05,Bioresearch Monitoring,Voluntary Action Indicated (VAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3012591221.0,Syneos Health,1167569.0,2022-04-01,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3012591221.0,Syneos Health,1199900.0,2023-02-02,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3012591221.0,Syneos Health,1210334.0,2023-07-13,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3012591221.0,Syneos Health,1217753.0,2023-08-31,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3012591221.0,Syneos Health,1225334.0,2023-12-13,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3012591221.0,Syneos Health,1238062.0,2024-04-19,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,Full-service,"Eli Lilly, Johnson & Johnson",,,,,,,,,
3020605829.0,Worldwide Clinical Trials,1179630.0,2022-09-08,Bioresearch Monitoring,No Action Indicated (NAI),,,,0.0,0.0,,FDA_DASHBOARD,,"Mid-sized, flexible","Pfizer, J&J",,,,,,,,,
,Syneos Health,,,,,,,,,,,ClinicalTrials,,Full-service,"Eli Lilly, Johnson & Johnson",NCT03869983,,24.0,2019-04-12,2019-05-15,,,Canada,Québec City
,Parexel,,,,,,,,,,,ClinicalTrials,,"Late-phase, full-service","GlaxoSmithKline, AstraZeneca",NCT04712396,,11.0,2021-02-01,2021-03-25,,,Germany,Berlin
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Belgium,Leuven
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,France,Bron
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,France,Paris
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Germany,Berlin
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Germany,Düsseldorf
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Germany,Hannover
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Germany,Leipzig
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Poland,Warsaw
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Poland,Warsaw
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Saudi Arabia,Riyāḑ
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Spain,Las Palmas De Gran Canaria
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Spain,Barcelona
,Ergomed,,,,,,,,,,,ClinicalTrials,,"Rare diseases, oncology","AstraZeneca, Janssen",NCT05239858,,500.0,2022-06-29,,2027-12-31,,Spain,Sevilla
