Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Response Letter,Closeout Letter
01/21/2025,01/15/2025,Sanofi,Center for Drug Evaluation and Research (CDER),CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,
01/21/2025,11/14/2024,"Salt City Baking Company, LLC",Human Foods Program,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",,
01/21/2025,12/12/2024,INCELL Corporation LLC,Center for Biologics Evaluation and Research (CBER),CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded/Adulterated,,
01/21/2025,01/08/2025,"Atlanta Supersource, Inc.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
01/28/2025,01/21/2025,Kardesler Ucan Yaglar Sanayi Anonim Sirketi,Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceutical/Adulterated,,
01/28/2025,12/30/2024,Evolutionary Biologics Inc.,Center for Biologics Evaluation and Research,"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,
01/28/2025,01/17/2025,"Chara Biologics, Inc.",Center for Biologics Evaluation and Research (CBER),CGMP/Deviations/Biologics License Application (BLA),,
01/28/2025,01/16/2025,"Mihon Corp. d/b/a VitalityVita and Boulla, LLC",Center for Drug Evaluation and Research (CDER),Unapproved New Drugs/Misbranded,,
01/14/2025,12/23/2024,By George Food Specialties Inc.,Division of Northern Border Imports,Foreign Supplier Verification Program (FSVP),,
02/04/2025,01/13/2025,"Talla Imports, LLC",Office of Inspections and Investigations,Foreign Supplier Verification Program (FSVP),,
02/04/2025,01/16/2025,Global Calcium Pvt. Limited,Center for Drug Evaluation and Research (CDER),CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,
02/04/2025,01/17/2025,BioStem Life Sciences,Center for Biologics Evaluation and Research (CBER),"Deviations/CFR/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,
02/04/2025,12/19/2024,"Fagron Compounding Services, LLC dba Fagron Sterile Service",Center for Drug Evaluation and Research (CDER),Compounding Pharmacy/Adulterated Drug Products,,
02/04/2025,01/27/2025,"Imperial Palace Commodity -Dongguan- Co., Ltd.",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
02/04/2025,01/23/2025,Center for Instrumental Analysis of China Pharmaceutical University,Center for Drug Evaluation and Research (CDER),CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,,
02/04/2025,01/28/2025,"Shantou Kangjie Daily Chemical Industry Co., Ltd",Center for Drug Evaluation and Research (CDER),CGMP/Finished Pharmaceuticals/Adulterated,,
01/21/2025,12/18/2024,Premium Fresh Growers LLC,Division of Southwest Imports,Foreign Supplier Verification Program (FSVP),,
01/21/2025,12/23/2024,Nyumbani Hakuna Matata LLC,Division of Northern Border Imports,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
01/21/2025,11/26/2024,Duong Ha Processing Trading Seafood Company Limited,Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated,,
01/21/2025,12/18/2024,"COFISA - Conservas de Peixe da Figueira, S.A.",Human Foods Program,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,,
01/21/2025,01/13/2025,www.weightcrunchshop.com,Center for Drug Evaluation and Research (CDER),Unlawful Sale of Unapproved and Misbranded Drugs to United States Consumers Over the Internet,,
01/21/2025,09/30/2024,"Miyajima Shoyu Co., Ltd.",Center for Food Safety and Applied Nutrition,Acidified Foods/Emergency Permit Control/Adulterated,,
01/21/2025,11/13/2024,"Western Innovations, Inc.",Human Foods Program,CGMP/Dietary Supplement/Adulterated,,
01/15/2025,01/08/2025,"Midwest Goods Inc., d/b/a Midwest Distribution and Midwest Distribution Illinois",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
08/29/2023,05/03/2023,Cosmax NBT USA,Division of Human and Animal Food Operations West III,CGMP/Dietary Supplement/Adulterated/Misbranded,,12/05/2023
06/22/2023,06/16/2023,"EZPuff Vapor Labs, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,Kissy Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/15/2023,"South Florida Vape, LLC and Flovape",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,Milu 1 Inc. d/b/a Peace Novelty,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,Vape Corp LLC d/b/a Blue Diamond Vapors,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/15/2023,F & N Trading 1 Inc. d/b/a/ Puffholic,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,"N2G2, LLC d/b/a The Hookah",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,Smoke and Vape LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,Selon Company Limited d/b/a Elf Bar Flavors,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,United Zone Store,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
09/28/2023,09/28/2023,"The Vaping Dragon, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/07/2023,"MV Store, Inc. d/b/a myvaporstore",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/07/2023,ECigMafia LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,Mr-Joy Group Holding B.V. d/b/a Mr. Joy,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/07/2023,Turning Point Brands d/b/a Directvapor.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/09/2023,"TXCel International, Inc. d/b/a Vaporider",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,The Local Vapory LLC d/b/a The Vapory LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,Discreet Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
06/22/2023,06/16/2023,Phoenix Vaping Ltd.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
03/06/2024,03/06/2024,Vaping Studio Inc,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
05/21/2024,04/22/2024,"Rash Catering Services, LLC",Division of Southwest Imports,FSVP/Seafood HACCP,,
05/21/2024,04/30/2024,"Akan Biosciences, Inc.",Office of Biological Products Operations – Division I,"CGMP/Regulations for Human Cells, Tissues & Cellular Products (HCT/Ps)",,
05/21/2024,04/22/2024,"Cookies-n-Milk, LLC",Division of Human and Animal Food West III Compliance Branch (HAFW3-CB),CGMP/Packaging/Misbranded,,
05/21/2024,02/27/2024,"Meditco, Inc. D.B.A. Phoenicia Specialty Foods",Division of Southwest Imports,FSVP/Human and Animal Foods,,
05/21/2024,11/29/2023,"Litehouse, Inc.",Office of Human and Animal Food Operations Division East 6,CGMP Food Labeling/Allergen/Misbranded,,
05/21/2024,03/25/2024,"Central Admixture Pharmacy Services, Inc.",Division of Pharmaceutical Quality Operations IV,CGMP/Drug Products/Adulterated,,
06/18/2024,06/11/2024,Dollar Tree Inc.,Center for Food Safety and Applied Nutrition (CFSAN),Adulterated Human Foods,,
06/11/2024,05/16/2024,Toltrazuril Shop,Center for Veterinary Medicine,Unapproved New Animal Drug/Adulterated,,
06/11/2024,05/16/2024,totaltoltrazuril.com,Center for Veterinary Medicine,Unapproved New Animal Drug/Adulterated,,
06/11/2024,05/16/2024,"Linessa Farms, LLC",Center for Veterinary Medicine,Unapproved New Animal Drug/Adulterated,,
06/11/2024,05/21/2024,"Midwest Foods, LLC",Division of Human and Animal Food Operations West II,Acidified Foods/Prepared Packed or Held Under Insanitary Conditions,,
09/05/2023,08/31/2023,Caltag Medsystems Ltd,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,,
06/11/2024,05/31/2024,"Cosmetic Solutions, LLC",Division of Pharmaceutical Quality Operations II,CGMP/Finished Pharmaceuticals/Adulterated,,
06/11/2024,06/05/2024,TCT Nutraceuticals SDN. BHD,Center for Drug Evaluation and Research | CDER,CGMP/Finished Pharmaceuticals/Adulterated,,
06/11/2024,05/29/2024,"Big Island Candies, Inc.",Division of Human and Animal Food Operations West V,CGMP Food Labeling/Misbranded/Adulterated,,
07/16/2024,07/05/2024,EBS Trading Group LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,,
07/16/2024,07/15/2024,Life Leaf Medical CBD Center,Center for Food Safety and Applied Nutrition (CFSAN),Interstate Commerce/Food/Adulterated/Unfair or Deceptive Marketing,,
07/16/2024,07/15/2024,Shamrockshrooms.com,Center for Food Safety and Applied Nutrition (CFSAN),Interstate Commerce/Food/Adulterated/Unfair or Deceptive Marketing,,
07/16/2024,07/15/2024,Earthly Hemps,Center for Food Safety and Applied Nutrition (CFSAN),Interstate Commerce/Food/Adulterated/Unfair or Deceptive Marketing,,
07/16/2024,07/15/2024,Mary Jane's Bakery Co. LLC,Center for Food Safety and Applied Nutrition (CFSAN),Interstate Commerce/Food/Adulterated/Unfair or Deceptive Marketing,,
